QueueId,Total Interactions
356cf0e4-2a69-4c47-8de9-758d3d6c1664,13
2a545201-0510-4ae4-a4d5-f7f5d4394349,11
42ed50c0-e632-4335-84f6-45b8d0fdde69,11
de265bbb-84f7-4035-a50b-74373d847389,10
2e8b5c2c-f256-46a0-8e38-ab4b3bd1b48a,9
702e33c1-12aa-439d-881c-c27b6d3055e3,9
84c866a1-3e5a-43d5-b2dc-c323d5754165,9
651,8
de958ac3-d8df-40e9-b7b0-ec6fa9dd8ed2,8
be613a48-e0f0-4781-995c-dd021dfdf766,7
bfc468dc-5524-4d69-afa6-200c8d11c44a,7
937b36f6-de22-4239-ad55-ebe5732390d9,6
1020dafb-d231-4936-b353-821c40d02975,5
d792286d-aeeb-4463-9431-42dc33821396,5
e2f3b71d-d2e5-4ba7-8f85-80593c54cbe6,5
f2abdf41-a0d3-4052-97dc-8a9ffdd6e1d7,4
22de9c17-526c-4e98-9d8a-0abba1695a97,3
3c80583c-8add-461f-89dc-71ac6827b785,3
54a1b68f-55ca-4264-95a2-c1aa20093a16,3
a20b3dd6-b0a0-446d-a7e5-7b52b5ab529e,3
f4c3c1dc-f4d1-4de7-aabc-18eb7ef02c64,3
6a814333-4000-44f0-9964-dcaf91cf6d1a,2
b412583a-0af2-4d32-b9bf-63c4e739f47f,2
c0ec39e3-1e82-493a-8ce8-c7267145ba4b,2
c5034abb-2d7f-4a33-a941-c8751220a411,2
db8c0b9e-1483-4b69-b3a9-03377d25009c,2
1d16a711-452b-4d45-bd36-ac152c0e965a,1
220da1f3-323c-48e8-8460-5f83c6193acd,1
2b2434f4-cf93-4931-ac40-02f35998368a,1
2c1789be-bb45-42f5-8e28-e3ac1d3854d5,1
404d1adb-5d30-4fa5-94ed-e2e2987c375e,1
46c54230-4a90-4d72-ba84-a12e7b4a02cf,1
48b582f7-1fd5-4999-9790-bb7d30bdfd7e,1
49eb0d02-b996-41c5-be17-18d61561d85f,1
593bab01-b9da-48f7-9eef-9ebf7de84b97,1
636774a2-3bf1-4932-be3a-03d3a14d60b2,1
69afa6d9-5144-46f4-9439-003f10fd29ec,1
712c837a-5f00-4df8-8a30-9c808c7dadc0,1
8d6698a9-0578-4079-a39f-a54d44cb82f5,1
9bab176f-d767-4dbf-99c7-6f629f736395,1
bdec204b-affd-4007-8b1b-69a2fc0c0b56,1
e51cbe42-a332-426c-872e-d55a814b2ae8,1
ec53b1d7-81dd-4c04-8db9-e60ae1bd7e45,1
ff2f80ed-3d0e-4ecb-8b8a-ae3688e42c7e,1
0da416ba-12f1-43b6-9de9-c28f0a15bbe3,0
0e1e2206-3d5b-437c-9fc7-67a0e8118ff2,0
16fce1e9-2207-478d-83b0-39ecb55f0bd7,0
1a92a5de-b937-4b16-836a-cb1993effc9c,0
1df6e904-976f-4d3b-96bd-4f42c41cdb12,0
2912,0
2913,0
2914,0
2967,0
30d49136-1759-4c00-a829-fa700fe4b58e,0
3262d72e-f361-409a-9fec-59ea652ed193,0
5b0100e5-c7b7-4692-995c-40f1bb39898f,0
65f9f5d6-bef0-43d8-afce-6b9474c9b558,0
6895aeff-6230-4cbd-8eed-f91a6934ffd5,0
6ee231ec-6be2-410f-9cc7-34ed70d11e78,0
72ce1c24-b231-4223-a009-5a2e3fb690c6,0
755343c8-7bb1-4e0e-b2b7-3994a597b794,0
76557524-5b05-45c6-ac19-bad7084ac0a8,0
